model,cv,accuracy_mean,accuracy_std,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_q025,balanced_accuracy_q975,roc_auc_mean,roc_auc_std,roc_auc_q025,roc_auc_q975
linear_svc,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.971111111111111,0.12133007728638844,0.575,1.0,0.9733333333333334,0.1085766498326822,0.5,1.0,0.98,0.13999999999999999,1.0,1.0
logreg_l2,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.96,0.15832456116050556,0.3333333333333333,1.0,0.97,0.11874342087037916,0.5,1.0,0.98,0.13999999999999999,1.0,1.0
logreg_pca10,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.96,0.15832456116050556,0.3333333333333333,1.0,0.97,0.11874342087037916,0.5,1.0,0.98,0.13999999999999999,1.0,1.0
logreg_kbest,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.8877777777777777,0.203211864142808,0.3333333333333333,1.0,0.8983333333333333,0.1872980393799026,0.5,1.0,0.9866666666666667,0.11469767022723505,1.0,1.0
rf_500,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.8544444444444443,0.21369471705862417,0.3333333333333333,1.0,0.8516666666666667,0.21427526429545918,0.5,1.0,0.9866666666666667,0.11469767022723505,1.0,1.0
logreg_l1,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.8233333333333333,0.2246231411844193,0.3333333333333333,1.0,0.8433333333333334,0.2052369903848286,0.5,1.0,0.94,0.2075250988836451,0.0,1.0
