sample,cluster
SRR14762238,2
SRR14762239,2
SRR14762240,1
SRR14762241,1
SRR14762242,1
SRR14762243,1
SRR14762244,1
SRR14762245,1
SRR14762246,0
SRR14762247,0
SRR14762248,1
SRR14762250,1
SRR14762251,1
SRR14762252,1
