model,cv,accuracy_mean,accuracy_std,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_q025,balanced_accuracy_q975,roc_auc_mean,roc_auc_std,roc_auc_q025,roc_auc_q975
linear_svc,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.9777777777777779,0.11331154474650633,0.575,1.0,0.98,0.09797958971132711,0.5,1.0,0.9933333333333333,0.08137703743822466,1.0,1.0
logreg_l2,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.96,0.15832456116050556,0.3333333333333333,1.0,0.97,0.11874342087037916,0.5,1.0,0.9866666666666667,0.0991071249821234,1.0,1.0
logreg_pca10,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.96,0.15832456116050556,0.3333333333333333,1.0,0.97,0.11874342087037916,0.5,1.0,0.9866666666666667,0.0991071249821234,1.0,1.0
logreg_kbest,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.8844444444444444,0.2081191491595946,0.3333333333333333,1.0,0.895,0.18989031921963093,0.5,1.0,0.9833333333333333,0.12133516482134199,1.0,1.0
rf_500,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.818888888888889,0.21937340622332666,0.3333333333333333,1.0,0.8033333333333333,0.23199616855073757,0.5,1.0,0.995,0.06103277807866853,1.0,1.0
logreg_l1,"RepeatedStratifiedKFold(n_splits=5, n_repeats=30)",0.7877777777777777,0.22517208782573936,0.3333333333333333,1.0,0.7983333333333333,0.22116484550870397,0.5,1.0,0.9133333333333333,0.21406125810669765,0.5,1.0
