feature_set,samples,features,best_balanced_accuracy_mean,permutation_pvalue,best_model_repeated,repeats,permutations
filtered,14,20634,0.973333,0.00995,linear_svc,30,200
cohort_filtered,14,18860,0.98,0.014925,linear_svc,30,200
