cluster,predicted_cell_type,short_name,gene_set,marker_genes_n,overlap_n,overlap_genes
29,Endothelial,"ACKR1, SELE, AQP1",top_mutated_genes,8,0,
29,Endothelial,"ACKR1, SELE, AQP1",wound_edge_higher_mutation_burden,8,0,
29,Endothelial,"ACKR1, SELE, AQP1",unwounded_skin_higher_mutation_burden,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",top_mutated_genes,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",wound_edge_higher_mutation_burden,8,0,
3,Unknown,"ADH1B, SVEP1, APOD",unwounded_skin_higher_mutation_burden,8,0,
30,Mast,"CPA3, TPSAB1, TPSB2",top_mutated_genes,8,0,
30,Mast,"CPA3, TPSAB1, TPSB2",wound_edge_higher_mutation_burden,8,0,
30,Mast,"CPA3, TPSAB1, TPSB2",unwounded_skin_higher_mutation_burden,8,0,
31,Macrophage/Monocyte,"CCL18, LYZ, CYBB",top_mutated_genes,8,0,
31,Macrophage/Monocyte,"CCL18, LYZ, CYBB",wound_edge_higher_mutation_burden,8,0,
31,Macrophage/Monocyte,"CCL18, LYZ, CYBB",unwounded_skin_higher_mutation_burden,8,0,
32,T cell,"PTPRC, CXCR4, NKG7",top_mutated_genes,8,0,
32,T cell,"PTPRC, CXCR4, NKG7",wound_edge_higher_mutation_burden,8,0,
32,T cell,"PTPRC, CXCR4, NKG7",unwounded_skin_higher_mutation_burden,8,0,
33,Plasma cell,"JCHAIN, MZB1, IGKC",top_mutated_genes,8,0,
33,Plasma cell,"JCHAIN, MZB1, IGKC",wound_edge_higher_mutation_burden,8,1,DCT
33,Plasma cell,"JCHAIN, MZB1, IGKC",unwounded_skin_higher_mutation_burden,8,0,
34,Keratinocyte,"CFD, CXCL14, FGFR3",top_mutated_genes,8,0,
34,Keratinocyte,"CFD, CXCL14, FGFR3",wound_edge_higher_mutation_burden,8,0,
34,Keratinocyte,"CFD, CXCL14, FGFR3",unwounded_skin_higher_mutation_burden,8,0,
35,Endothelial,"TNC, INSR, SLCO2A1",top_mutated_genes,8,0,
35,Endothelial,"TNC, INSR, SLCO2A1",wound_edge_higher_mutation_burden,8,0,
35,Endothelial,"TNC, INSR, SLCO2A1",unwounded_skin_higher_mutation_burden,8,0,
36,T cell,"NKG7, DUSP2, CCL5",top_mutated_genes,8,0,
36,T cell,"NKG7, DUSP2, CCL5",wound_edge_higher_mutation_burden,8,0,
36,T cell,"NKG7, DUSP2, CCL5",unwounded_skin_higher_mutation_burden,8,0,
37,T cell,"ADRA2A, CCL5, CD7",top_mutated_genes,8,0,
37,T cell,"ADRA2A, CCL5, CD7",wound_edge_higher_mutation_burden,8,0,
37,T cell,"ADRA2A, CCL5, CD7",unwounded_skin_higher_mutation_burden,8,0,
4,Unknown,"ASPN, FNDC1, TNC",top_mutated_genes,8,0,
4,Unknown,"ASPN, FNDC1, TNC",wound_edge_higher_mutation_burden,8,0,
