	total_gene_burden	filtered_records	cohort_filtered_records
total_gene_burden	1.0	0.6835164835164835	0.8373626373626374
filtered_records	0.6835164835164835	1.0	0.9472527472527472
cohort_filtered_records	0.8373626373626374	0.9472527472527472	1.0
