sample,cluster
SRR14762238,0
SRR14762239,0
SRR14762240,0
SRR14762241,0
SRR14762242,0
SRR14762243,0
SRR14762244,0
SRR14762245,0
SRR14762246,1
SRR14762247,1
SRR14762248,0
SRR14762250,0
SRR14762251,0
SRR14762252,0
